,RunId,iteration,Step,width,height,initial_population,initial_population_bt,vento,Lagarta Saudavel,Lagarta Infectada,Bacteria
114,114,3,30,50,50,100,200,0,0,0,0
115,115,3,30,50,50,100,200,1,1,0,0
116,116,3,30,50,50,100,200,2,0,0,0
117,117,3,30,50,50,100,200,3,0,0,0
118,118,3,30,50,50,100,200,4,1,0,0
119,119,3,30,50,50,100,200,5,0,0,0
120,120,4,30,50,50,100,0,0,100,0,0
121,121,4,30,50,50,100,0,1,100,0,0
122,122,4,30,50,50,100,0,2,100,0,0
123,123,4,30,50,50,100,0,3,100,0,0
124,124,4,30,50,50,100,0,4,100,0,0
125,125,4,30,50,50,100,0,5,100,0,0
126,126,4,30,50,50,100,50,0,0,0,0
127,127,4,30,50,50,100,50,1,0,0,0
128,128,4,30,50,50,100,50,2,0,0,0
129,129,4,30,50,50,100,50,3,0,0,4
130,130,4,30,50,50,100,50,4,0,0,0
131,131,4,30,50,50,100,50,5,1,0,0
132,132,4,30,50,50,100,100,0,3,0,0
133,133,4,30,50,50,100,100,1,0,0,0
134,134,4,30,50,50,100,100,2,0,0,0
135,135,4,30,50,50,100,100,3,0,0,0
136,136,4,30,50,50,100,100,4,0,0,0
137,137,4,30,50,50,100,100,5,1,0,0
138,138,4,30,50,50,100,150,0,0,0,0
139,139,4,30,50,50,100,150,1,0,0,0
140,140,4,30,50,50,100,150,2,0,0,0
141,141,4,30,50,50,100,150,3,0,0,0
142,142,4,30,50,50,100,150,4,1,0,0
143,143,4,30,50,50,100,150,5,0,0,0
144,144,4,30,50,50,100,200,0,0,0,0
145,145,4,30,50,50,100,200,1,0,0,0
146,146,4,30,50,50,100,200,2,0,0,0
147,147,4,30,50,50,100,200,3,0,0,0
148,148,4,30,50,50,100,200,4,0,0,0
149,149,4,30,50,50,100,200,5,0,0,0
150,150,5,30,50,50,100,0,0,100,0,0
151,151,5,30,50,50,100,0,1,100,0,0
152,152,5,30,50,50,100,0,2,100,0,0
153,153,5,30,50,50,100,0,3,100,0,0
154,154,5,30,50,50,100,0,4,100,0,0
155,155,5,30,50,50,100,0,5,100,0,0
156,156,5,30,50,50,100,50,0,0,0,0
157,157,5,30,50,50,100,50,1,5,0,0
158,158,5,30,50,50,100,50,2,0,0,0
159,159,5,30,50,50,100,50,3,0,0,0
160,160,5,30,50,50,100,50,4,0,0,0
161,161,5,30,50,50,100,50,5,0,0,0
162,162,5,30,50,50,100,100,0,1,0,0
163,163,5,30,50,50,100,100,1,0,0,0
164,164,5,30,50,50,100,100,2,0,0,0
165,165,5,30,50,50,100,100,3,0,0,0
166,166,5,30,50,50,100,100,4,1,0,0
167,167,5,30,50,50,100,100,5,0,0,0
168,168,5,30,50,50,100,150,0,0,0,0
169,169,5,30,50,50,100,150,1,0,0,0
170,170,5,30,50,50,100,150,2,0,0,0
171,171,5,30,50,50,100,150,3,0,0,0
172,172,5,30,50,50,100,150,4,0,0,0
173,173,5,30,50,50,100,150,5,0,0,0
174,174,5,30,50,50,100,200,0,0,0,0
175,175,5,30,50,50,100,200,1,0,0,0
176,176,5,30,50,50,100,200,2,0,0,0
177,177,5,30,50,50,100,200,3,0,0,0
178,178,5,30,50,50,100,200,4,0,0,0
179,179,5,30,50,50,100,200,5,0,0,0
180,180,6,30,50,50,100,0,0,100,0,0
181,181,6,30,50,50,100,0,1,100,0,0
182,182,6,30,50,50,100,0,2,100,0,0
183,183,6,30,50,50,100,0,3,100,0,0
184,184,6,30,50,50,100,0,4,100,0,0
185,185,6,30,50,50,100,0,5,100,0,0
186,186,6,30,50,50,100,50,0,0,0,0
187,187,6,30,50,50,100,50,1,1,0,0
188,188,6,30,50,50,100,50,2,2,0,0
189,189,6,30,50,50,100,50,3,0,0,0
190,190,6,30,50,50,100,50,4,1,0,0
191,191,6,30,50,50,100,50,5,0,0,0
192,192,6,30,50,50,100,100,0,1,0,0
193,193,6,30,50,50,100,100,1,0,0,0
194,194,6,30,50,50,100,100,2,1,0,0
195,195,6,30,50,50,100,100,3,0,0,0
196,196,6,30,50,50,100,100,4,0,0,0
197,197,6,30,50,50,100,100,5,0,0,0
198,198,6,30,50,50,100,150,0,0,0,0
199,199,6,30,50,50,100,150,1,0,0,0
200,200,6,30,50,50,100,150,2,0,0,0
201,201,6,30,50,50,100,150,3,1,0,0
202,202,6,30,50,50,100,150,4,0,0,0
203,203,6,30,50,50,100,150,5,0,0,0
204,204,6,30,50,50,100,200,0,0,0,0
205,205,6,30,50,50,100,200,1,0,0,0
206,206,6,30,50,50,100,200,2,0,0,0
207,207,6,30,50,50,100,200,3,0,0,0
208,208,6,30,50,50,100,200,4,1,0,0
209,209,6,30,50,50,100,200,5,0,0,0
210,210,7,30,50,50,100,0,0,100,0,0
211,211,7,30,50,50,100,0,1,100,0,0
212,212,7,30,50,50,100,0,2,100,0,0
213,213,7,30,50,50,100,0,3,100,0,0
214,214,7,30,50,50,100,0,4,100,0,0
215,215,7,30,50,50,100,0,5,100,0,0
216,216,7,30,50,50,100,50,0,1,0,0
217,217,7,30,50,50,100,50,1,0,0,0
218,218,7,30,50,50,100,50,2,1,0,0
219,219,7,30,50,50,100,50,3,1,0,0
220,220,7,30,50,50,100,50,4,0,0,0
221,221,7,30,50,50,100,50,5,1,0,0
222,222,7,30,50,50,100,100,0,0,0,0
223,223,7,30,50,50,100,100,1,0,0,0
224,224,7,30,50,50,100,100,2,0,0,0
225,225,7,30,50,50,100,100,3,0,0,0
226,226,7,30,50,50,100,100,4,0,0,0
227,227,7,30,50,50,100,100,5,2,0,0
228,228,7,30,50,50,100,150,0,0,0,0
229,229,7,30,50,50,100,150,1,0,0,0
230,230,7,30,50,50,100,150,2,1,0,0
231,231,7,30,50,50,100,150,3,0,0,0
232,232,7,30,50,50,100,150,4,0,0,0
233,233,7,30,50,50,100,150,5,1,0,0
234,234,7,30,50,50,100,200,0,0,0,0
235,235,7,30,50,50,100,200,1,0,0,0
236,236,7,30,50,50,100,200,2,1,0,0
237,237,7,30,50,50,100,200,3,1,0,0
238,238,7,30,50,50,100,200,4,0,0,0
239,239,7,30,50,50,100,200,5,0,0,0
240,240,8,30,50,50,100,0,0,100,0,0
241,241,8,30,50,50,100,0,1,100,0,0
242,242,8,30,50,50,100,0,2,100,0,0
243,243,8,30,50,50,100,0,3,100,0,0
244,244,8,30,50,50,100,0,4,100,0,0
245,245,8,30,50,50,100,0,5,100,0,0
246,246,8,30,50,50,100,50,0,1,0,0
247,247,8,30,50,50,100,50,1,0,0,0
248,248,8,30,50,50,100,50,2,3,0,0
249,249,8,30,50,50,100,50,3,0,0,0
250,250,8,30,50,50,100,50,4,0,0,0
251,251,8,30,50,50,100,50,5,1,0,0
252,252,8,30,50,50,100,100,0,1,0,0
253,253,8,30,50,50,100,100,1,0,0,0
254,254,8,30,50,50,100,100,2,0,0,0
255,255,8,30,50,50,100,100,3,0,0,0
256,256,8,30,50,50,100,100,4,0,0,0
257,257,8,30,50,50,100,100,5,0,0,0
258,258,8,30,50,50,100,150,0,0,0,0
259,259,8,30,50,50,100,150,1,0,0,0
260,260,8,30,50,50,100,150,2,0,0,0
261,261,8,30,50,50,100,150,3,1,0,0
262,262,8,30,50,50,100,150,4,0,0,0
263,263,8,30,50,50,100,150,5,0,0,0
264,264,8,30,50,50,100,200,0,0,0,0
265,265,8,30,50,50,100,200,1,0,0,0
266,266,8,30,50,50,100,200,2,0,0,0
267,267,8,30,50,50,100,200,3,0,0,0
268,268,8,30,50,50,100,200,4,0,0,0
269,269,8,30,50,50,100,200,5,0,0,0
270,270,9,30,50,50,100,0,0,100,0,0
271,271,9,30,50,50,100,0,1,100,0,0
272,272,9,30,50,50,100,0,2,100,0,0
273,273,9,30,50,50,100,0,3,100,0,0
274,274,9,30,50,50,100,0,4,100,0,0
275,275,9,30,50,50,100,0,5,100,0,0
276,276,9,30,50,50,100,50,0,1,0,0
277,277,9,30,50,50,100,50,1,0,0,0
278,278,9,30,50,50,100,50,2,2,0,0
279,279,9,30,50,50,100,50,3,0,0,0
280,280,9,30,50,50,100,50,4,0,0,0
281,281,9,30,50,50,100,50,5,3,0,0
282,282,9,30,50,50,100,100,0,0,0,0
283,283,9,30,50,50,100,100,1,0,0,0
284,284,9,30,50,50,100,100,2,3,0,0
285,285,9,30,50,50,100,100,3,0,0,0
286,286,9,30,50,50,100,100,4,0,0,0
287,287,9,30,50,50,100,100,5,2,0,0
